,Module,Cost,Value
0,Linear Algebra Core Concepts,3.5,9.2
1,Calculus I Fundamentals,4.0,8.8
2,Probability Theory Basics,2.5,7.5
3,Discrete Mathematics,3.0,8.0
4,Statistics for Beginners,2.0,6.5
5,Differential Equations,4.5,9.0
6,Number Theory Introduction,2.5,6.0
7,Geometry Essentials,2.0,5.5
8,Algorithm Design Patterns,5.0,9.5
9,Data Structures Mastery,4.5,9.3
10,Machine Learning Basics,6.0,9.8
11,Database Systems,3.5,8.2
12,Operating Systems Concepts,4.0,8.5
13,Computer Networks,3.0,7.8
14,Compiler Design,5.5,8.7
15,Software Engineering Principles,3.5,8.0
16,Classical Mechanics,4.0,8.5
17,Quantum Physics Intro,5.0,9.0
18,Thermodynamics,3.5,7.8
19,Electromagnetism,4.5,8.7
20,Astrophysics Basics,3.0,7.0
21,Fluid Dynamics,4.0,8.0
22,Particle Physics,5.5,8.9
23,Molecular Biology,3.5,8.2
24,Genetics Fundamentals,3.0,7.8
25,Neuroscience Intro,4.0,8.0
26,Biochemistry Core,4.5,8.5
27,Ecology Principles,2.5,6.5
28,Microbiology,3.0,7.2
29,Evolutionary Biology,2.5,6.8
30,Philosophy of Mind,2.5,6.0
31,Art History Survey,2.0,5.5
32,World Literature,3.0,6.8
33,Critical Thinking,2.5,7.5
34,Ethics in Technology,2.0,6.5
35,Cultural Anthropology,2.5,6.2
36,Thesis Writing Techniques,5.0,8.8
37,Research Methodology,3.5,7.5
38,Presentation Skills,2.0,6.8
39,Technical Writing,2.5,7.0
40,Advanced Linear Algebra,4.0,9.0
41,Multivariable Calculus,4.5,9.2
42,Stochastic Processes,3.5,8.5
43,Graph Theory Applications,3.0,8.2
44,Bayesian Statistics,3.5,8.8
45,Partial Differential Equations,5.0,9.3
46,Cryptography Essentials,4.0,9.0
47,Mathematical Logic,3.0,7.5
48,Advanced Geometry,3.5,7.8
49,Computational Complexity,4.5,9.1
50,Deep Learning Foundations,6.5,9.7
51,Reinforcement Learning,6.0,9.6
52,Cloud Computing Concepts,3.5,8.0
53,Cybersecurity Basics,3.0,7.8
54,Distributed Systems,4.5,8.7
55,Mobile Application Development,4.0,8.5
56,Human-Computer Interaction,3.5,7.9
57,Data Mining Techniques,4.0,8.8
58,Big Data Fundamentals,4.5,8.9
59,Internet of Things (IoT),3.5,8.2
60,Modern Algebra,6.0,7.9
